hgnc_symbol	log2fc_exon	log2fc_intron	log2fc_deseq
SNORA53			-0.693060439756452
TSPAN4		-0.673865029426085	
POLE		-0.849333115889928	
SNORD3C			-0.966969495360785
GABBR1			-0.638400558426272
FGFRL1		-0.962873703985766	
ENSG00000290548			-0.62849974035882
JAG2		-1.03294635987762	
SNORA80B			-0.858788688644671
PAXX	-0.754530604655471		
MAN2C1	-0.66994546431309		
TTYH3		-0.656731485475126	
ENSG00000290076			-0.690556035969448
PGGHG	-0.886743484586972		-0.775363107929445
CRACR2B	-0.700135375485829		-0.703812846760549
EME2			-0.758279310740299
ENSG00000255026			-1.06891486788267
MICALL2	-0.615732237245978	-0.755562669419	-0.60068366491824
SLC29A2	-0.666764344494119		
EZH2	-0.622437328981635		
HDAC10	-0.983004560383318		
PPM1E		-1.19949132284518	
ACAP3	-0.950441265890481	-0.87816678201329	-0.809807521647858
WDR90	-0.922111068101766	-1.20058087081243	-0.742313339394263
ARVCF		-0.658463382847268	
SNORA49			-0.946268739319415
ARHGEF38			-0.812520548846984
SLC9A3-AS1			-0.623711068575837
ITGB8		-0.651077676603891	
NUDT8			-0.788579456344183
SGSM3	-0.612263569999462		
OSBPL7	-0.757170424410155		
TRAF7		-0.746144079009852	
FHOD1	-0.652254915351342		
CDK10	-0.660516421158244		-0.624456730291022
ENSG00000255031			-0.954634476951673
SNORD3B-2			-0.79749955587874
TMC6		-0.696365384135984	
WDR97			-1.05401996429797
KMT5C			-0.766003001553315
TPM2			-1.54457732742176
AKT1		-0.866750701963427	
KLHL17			-0.803631218360398
ENSG00000291117			-0.65819744217025
LRRC45		-1.2016018037621	-1.07572488308039
SNORA73B			-1.19870225074092
CCNE2	-0.743248027765748		-0.729379842031652
LINC02531			-0.690202185921362
GOLGA8A	-0.664761853266213		-0.616395153927872
RNVU1-27			-0.984240250143062
ANKRD36C	-0.666514826661834		
MAMDC4	-0.908358549710219		-0.734384067085332
NME3	-0.647154344184563		
KIAA0895L	-0.622201837614504		
CASP6	-0.624024832925388		
PKD1		-0.738046705936978	
RELL2			-0.64561567864884
DVL1	-0.62553159119634	-0.927036624896084	
EFNA5		-0.696238723799292	
CENPU		-0.774832155368598	
MDM1			-0.669285906841326
DNASE1L2			-0.842594322360144
UVSSA		-0.693211275313496	
SNORA80A			-0.934167202733944
CXCL8			-0.699942243235167
SPTBN5	-0.726693044338596	-0.772513855249613	
RTEL1-TNFRSF6B			-0.957708705127674
DGKQ	-0.620778633818958	-0.76539406206943	
PNKP	-0.612467052103011		
INPPL1		-0.709211198649402	
DUS1L	-0.697715397034374		
GAS6		-0.612806134123224	
RHBDL1			-1.09601151122564
ENSG00000250920			-0.957002681139733
KIFC2	-0.844659517521835		-0.828527521472709
SNHG1			-0.61884054176462
ZNF692	-0.687735286728033		-0.603862497937656
BICC1			-0.902461690169431
TONSL		-1.03689779996603	
TNNI2			-1.12029288328471
MIB2	-0.761071362936204		-0.630652235360113
SNORD3A			-0.759700381286627
MAP3K6		-1.41857580522813	-0.723272045436438
ENSG00000256982			-0.871997205074905
ALS2CL	-0.614939788440188	-0.67856664819874	
CDK5RAP3			-0.639464378615005
SNORD94			-1.1476967671543
ENSG00000307581			-1.6777565355871
CCNE1		-0.859301781234539	-0.849616687907609
RXRA		-0.991656716165767	
LAMA5		-0.791134399953968	
TELO2		-0.929736727832775	
PPP1R16A	-0.734058540763427		-0.662017692139784
ZMYND19	-0.601631307809032		
NEURL4		-0.811723973130344	
INTS1		-0.632486290555619	
UNC13D		-0.716456438285838	
CRNDE			-0.726455554133633
TMPRSS11F		-0.974829817613934	
ARFRP1	-0.711343520437496		-0.643445588267902
SEMA3B	-0.601069751221887		
SYT8			-0.9639651883382
SNORA74D			-0.684671164250972
MMD			-0.620036479334229
SNORA74A			-1.05565000997926
HCN3			-0.975052407000246
WDR76	-0.675459219232051		
MECOM		-0.717295458643954	
ING2			-0.730267298555939
MYB		-0.971711346931894	-0.897639657212435
RNF207	-0.805603591303981		-0.732746452502256
